0 1 1 1 1
-1 3 -1 1 -4
-5 1 -2 2 -3
-2 -5 4 3 -7
-3 4 1 1 1
-4 5 1 2 0
-3 -5 -1 1 2
3 2 4 3 3
-3 0 3 3 -1
1 -4 -2 NA 4
0 2 -3 2 -3
0 -5 4 2 -10
2 -4 -1 1 6
2 3 -3 2 -3
-1 -2 1 1 -3
-4 5 -2 1 -14
-3 -1 1 3 -1
-2 2 -2 3 -2
-2 0 4 3 0
-3 -5 4 2 -11
4 3 4 3 5
3 1 -1 2 1
2 -5 0 2 1
4 3 1 1 7
-2 3 -2 2 -4
1 -3 NA 3 -3
-3 0 -2 2 -1
-3 -3 0 3 -1
-1 -1 3 1 -4
0 4 2 3 2
3 2 -2 2 0
4 5 4 2 12
-3 -4 -2 1 5
-2 2 -2 2 -3
-2 0 2 2 -1
2 -3 -2 3 2
-4 -4 1 3 -2
1 -2 4 1 -7
-5 4 0 3 -1
2 -4 1 2 -1
-1 -1 -1 NA 0
-5 4 -3 2 -8
-1 4 NA 1 15
4 5 4 3 8
-1 -5 -3 3 4
-4 4 4 2 6
-1 1 -2 2 -1
-3 2 1 3 0
-5 2 -3 3 -3
1 -3 -1 2 2
1 4 3 1 13
2 0 1 2 1
1 -5 -3 1 16
4 -1 1 2 1
3 0 -3 1 3
4 3 -1 3 0
-1 0 0 2 0
-5 0 -1 3 -1
-1 3 3 2 4
NA 5 2 2 3
0 1 1 3 0
-1 -3 -3 2 4
-5 -5 1 3 -3
-5 -2 2 2 -4
0 4 2 3 2
4 -2 3 3 0
-3 3 4 3 3
1 -4 2 3 -2
0 1 -3 3 -1
0 -1 1 1 -1
-2 1 0 3 0
-4 3 2 3 0
0 -1 -3 3 1
2 3 -3 3 -2
0 -4 -2 2 4
-1 3 2 2 2
-2 -2 3 1 -8
-3 5 4 1 17
-5 0 -3 1 -5
3 -5 -1 2 4
-5 -1 -3 2 -1
-1 4 2 2 3
-1 0 4 1 -1
-2 1 -2 3 -1
-3 -1 0 3 -1
0 -2 4 1 -8
0 4 3 3 4
-5 -2 -3 1 1
-4 -3 3 3 -4
0 2 -3 3 -2
-4 0 0 3 -1
5 1 -1 2 2
4 5 -2 1 -6
2 -3 2 1 -4
-2 -2 4 1 -10
4 -2 4 3 -1
3 1 4 2 3
2 4 1 2 3
-3 4 1 1 1
-5 3 2 1 1
5 4 2 3 4
-5 1 0 1 -5
2 4 1 1 6
-1 -5 -3 1 14
0 0 0 1 0
3 3 4 1 15
0 -5 1 2 -2
3 1 4 NA 2
-5 -2 -2 2 0
-3 4 -1 3 -2
0 -1 2 1 -2
-2 0 3 2 -1
4 -3 -3 3 4
4 -1 -3 1 7
-5 -3 3 1 -14
2 5 -1 2 -1
2 -3 0 2 1
0 3 4 3 4
3 0 4 1 3
2 1 3 1 5
3 3 0 2 1
-1 5 -2 2 -5
-3 5 -2 1 -13
-3 -5 4 2 -11
-5 2 4 2 1
1 -2 -2 1 5
-5 5 0 1 -5
-4 0 1 1 -4
4 5 1 2 4
-2 -2 4 2 -5
-2 1 2 1 0
2 1 3 2 2
5 -4 3 3 -2
-1 -1 1 3 0
-5 0 1 3 -1
4 5 -3 1 -11
3 1 2 3 1
-5 -3 -2 1 1
-5 2 -2 3 -3
4 3 -1 3 0
2 4 4 2 9
-3 3 -1 2 -3
3 -2 3 1 -3
-5 3 1 1 -2
-2 -4 -2 NA 2
-3 4 3 1 9
-1 4 0 3 0
3 -3 -1 1 6
-2 -4 2 3 -3
-5 -4 0 3 -1
-2 4 4 2 7
2 4 1 2 3
-4 -5 1 3 -3
-4 2 0 3 -1
3 4 4 3 6
-4 3 4 3 2
-5 1 2 1 -3
-3 -1 4 1 -7
-2 0 3 2 -1
-4 5 1 2 0
-4 -4 4 1 -20
-5 3 -3 2 -7
-5 0 0 3 -1
-4 -2 -3 1 2
1 1 -1 3 0
-3 -3 1 1 -6
-2 -5 4 1 -22
2 1 -1 2 0
1 -5 -1 3 2
-5 3 4 -50 2
-4 -5 1 2 -4
3 5 -2 NA -7
5 5 -2 3 -1
-1 -5 -1 3 1
5 1 0 1 5
-4 3 0 1 -4
3 -2 -1 2 2
-4 1 -1 3 -1
2 0 -1 2 1
-5 2 2 2 0
5 -5 4 3 -5
1 4 0 3 0
-1 -3 -3 2 4
4 2 -3 1 -2
1 -1 -1 2 1
0 1 4 1 4
-4 -1 4 2 -4
-1 -4 2 2 -4
2 -3 -3 3 3
4 -2 -1 3 2
-5 2 0 2 -2
-5 -4 4 3 -7
2 4 1 1 6
-3 0 NA 1 -3
-3 -3 -2 2 1
0 -1 -3 2 1
4 5 0 -50 1
-5 -5 3 2 -10
2 -1 2 1 0
-2 0 -1 2 -1
1 2 2 1 5
-2 -2 -3 3 1
-5 2 1 3 -1
1 0 -2 1 1
-5 3 0 2 -2
4 3 0 2 2
-5 -4 -1 2 0
5 -5 -3 1 20
2 4 -2 3 -2
0 -1 1 3 0
1 -3 -1 2 2
3 -5 -3 1 18
1 5 1 3 2
0 3 3 3 3
-1 3 4 2 5
4 3 3 3 4
4 -4 4 1 -12
-1 3 -2 3 -2
2 2 -1 2 0
-3 3 0 NA -1
-5 2 4 1 3
2 -4 -2 1 10
4 NA -2 2 4
0 4 2 2 4
0 -3 1 3 -1
3 3 -1 1 0
-5 5 2 1 5
-1 -3 4 2 -6
-3 -5 -2 2 3
1 1 -1 1 0
-2 5 1 1 3
0 1 -1 1 -1
4 0 3 3 1
3 -5 -1 2 4
-1 -5 -2 1 9
4 1 2 2 3
-2 -4 -2 2 3
4 0 0 2 2
5 -4 2 3 -1
2 5 1 1 7
2 4 -2 1 -6
2 -1 0 1 2
3 -1 -1 1 4
-4 -2 1 1 -6
1 -1 4 1 -3
-3 -4 -1 3 0
0 -1 1 2 0
0 2 -3 2 -3
